Date,Close
9/26/2019,66.970001
9/27/2019,67.93
9/30/2019,67.980003
10/1/2019,67.809998
10/2/2019,65.099998
10/3/2019,64.949997
10/4/2019,65.550003
10/7/2019,64.809998
10/8/2019,63.970001
10/9/2019,65.029999
10/10/2019,65.760002
10/11/2019,68.610001
10/14/2019,68.040001
10/15/2019,69.919998
10/16/2019,69.849998
10/17/2019,70.290001
10/18/2019,69.260002
10/21/2019,70.489998
10/22/2019,71.230003
10/23/2019,69.769997
10/24/2019,67.760002
10/25/2019,69.040001
10/28/2019,68.25
10/29/2019,68.620003
10/30/2019,67.730003
10/31/2019,66.790001
11/1/2019,66.790001
11/4/2019,67.480003
11/5/2019,68.089996
11/6/2019,68.529999
11/7/2019,69.230003
11/8/2019,69.239998
11/11/2019,71.370003
11/12/2019,70.470001
11/13/2019,71.169998
11/14/2019,72.459999
11/15/2019,72.860001
11/18/2019,72.940002
11/19/2019,70.040001
11/20/2019,68.599998
11/21/2019,68.75
11/22/2019,67.419998
11/25/2019,69.230003
11/26/2019,71.339996
11/27/2019,70.709999
11/29/2019,69.400002
12/2/2019,67.970001
12/3/2019,67.470001
12/4/2019,68.040001
12/5/2019,68.150002
12/6/2019,70.379997
12/9/2019,69.839996
12/10/2019,69.470001
12/11/2019,70.059998
12/12/2019,70.110001
12/13/2019,69.230003
12/16/2019,70.220001
12/17/2019,71.32
12/18/2019,72.610001
12/19/2019,72.879997
12/20/2019,72.82
12/23/2019,73.610001
12/24/2019,73.18
12/26/2019,74.010002
12/27/2019,73.019997
12/30/2019,73.440002
12/31/2019,73.440002
1/2/2020,72.639999
1/3/2020,72.110001
1/6/2020,72.379997
1/7/2020,73.760002
1/8/2020,74.25
1/9/2020,75.099998
1/10/2020,74.370003
1/13/2020,75.519997
1/14/2020,76.010002
1/15/2020,75.57
1/16/2020,76.519997
1/17/2020,76.589996
1/21/2020,76.160004
1/22/2020,75.720001
1/23/2020,75.470001
1/24/2020,74.989998
1/27/2020,73.349998
1/28/2020,74.720001
1/29/2020,73.650002
1/30/2020,72.75
1/31/2020,70.080002
2/3/2020,70.190002
2/4/2020,71.260002
2/5/2020,74.230003
2/6/2020,72.019997
2/7/2020,71.059998
2/10/2020,71.510002
